,radius,movement
290,0.06156391649976791,[ -2.05724825 -14.429817  ]
291,0.05325543245432877,[ -2.64405594 -10.97534965]
292,0.11194010442871269,[  4.05650655 -14.47354497]
293,0.06462864942503209,[  3.6466912  -13.76079288]
294,0.07126900345756736,[  1.11233365 -14.2248045 ]
295,0.06422846818149976,[  4.6685866  -12.90077614]
296,0.11994569702884289,[  0.8315298  -14.93874849]
297,0.05855896518773173,[ -3.33082707 -13.68421053]
298,0.06422846818149976,[ -4.09689349 -13.51397929]
299,0.11500752453902767,[ -0.56003484 -15.14686243]
300,0.06301267745665633,[ -0.41619823 -14.82296311]
301,0.05026672733058051,[  0.61901394 -11.66174985]
302,0.06050785329926984,[  2.42808365 -16.30708493]
303,0.058338403329857166,[ -2.68493761 -11.87700535]
304,0.0611436800759377,[  3.7983908  -12.77034483]
305,0.06321693302460576,[ -3.09677419 -12.21290323]
306,0.10699390985805615,[ -1.54844458 -15.14295454]
307,0.07198891065267134,[  1.05143637 -14.34849944]
308,0.1054159211720996,[ -3.8647074  -15.69001676]
309,0.043974226071262786,[ 1.08387097 -9.65548387]
310,0.033296746591493634,[ -6.43938351 -26.99724783]
311,0.05077706251929806,[-2.76042735 -9.42034188]
312,0.061772962658199274,[  5.68013768 -11.74579296]
313,0.10480267617125948,[  2.31007786 -16.40810078]
314,0.053496954929028076,[ -1.71531532 -10.44195624]
315,0.05325543245432877,[  1.70987831 -11.62755906]
316,0.06280775763769725,[  3.2572746  -13.50335751]
317,0.1080728673337662,[  0.41735915 -12.52334753]
318,0.07072426423436362,[  3.66388013 -14.87799797]
319,0.05631448655585085,[  0.19728607 -12.8647716 ]
320,0.1125144545532508,[ -0.9939538  -14.11991632]
321,0.06620518962098663,[ -3.27758932 -11.93399495]
322,0.054688570017718485,[ -3.56034483 -10.09482759]
323,0.05811700441605883,[  2.95913398 -12.2160437 ]
324,0.10663183129052593,[  1.51221001 -13.55695099]
325,0.06755448792061862,[  1.08871879 -14.5834518 ]
326,0.0727016895270106,[ -2.3912823  -13.05474523]
327,0.11054949013966757,[  0.78180666 -14.61789404]
328,0.061981303764539905,[  2.98569165 -11.07965138]
329,0.06342053075951334,[  1.31923077 -13.5013986 ]
330,0.06301267745665633,[  5.74666946 -12.49698366]
331,0.11410725609858453,[ -0.78846023 -14.20252267]
332,0.06659349318298727,[ -0.3551042  -13.13032317]
333,0.06301267745665633,[  4.85106295 -13.50893374]
334,0.0688773587159323,[ -5.79612937 -11.96248674]
335,0.11799523050394453,[ -4.14447077 -16.23591364]
336,0.05421506699268316,[  1.1087564  -11.39147648]
337,0.061981303764539905,[  0.84158177 -14.64815798]
338,0.0650263679445921,[  5.44078846 -11.83057217]
339,0.10687335330162032,[ -0.9902649  -13.07115728]
340,0.05397675785224819,[ -0.63434795 -12.77000875]
341,0.056542943828827956,[  4.53225806 -12.7016129 ]
342,0.059215721782315864,[  2.73123354 -13.20215101]
343,0.04817135113612482,[ -0.93049096 -13.38527132]
344,0.11467075214828057,[ -0.62049911 -13.81354724]
345,0.05515800841350847,[ -4.42347584 -11.55375664]
346,0.0709063089736941,[  1.76981685 -12.69274725]
347,0.06850200246796762,[  3.00328407 -14.63458381]
348,0.10091741578365145,[  0.98797468 -14.9396097 ]
349,0.060080230603120906,[  4.46731898 -12.31927593]
350,0.06156391649976791,[ -5.25420475 -12.65769375]
351,0.11308588765765591,[  1.26385245 -13.79161522]
352,0.05943302791362329,[ -4.72519084 -11.03309745]
353,0.0727016895270106,[ -3.13374629 -11.9087108 ]
354,0.05227818553444664,[  4.44339623 -11.04481132]
355,0.09594043453506282,[ -5.56659312 -12.18512433]
356,0.06050785329926984,[  4.44666726 -12.9719207 ]
357,0.05943302791362329,[ -3.95226592 -11.79478023]
358,0.06362347697665749,[ -6.42680097 -11.74369229]
359,0.10984758151846191,[ -0.4620982  -14.01724004]
360,0.057447688377806304,[  2.03097345 -13.4717229 ]
361,0.0860217991215865,[  2.76212449 -12.37630662]
362,0.067363385733172,[  3.50293457 -14.3257992 ]
363,0.11376781878899364,[  1.38981943 -14.65967543]
364,0.04736169093198819,[ 3.91474043 -9.65479348]
365,0.06697954565294054,[  2.68390805 -14.66724138]
366,0.0611436800759377,[  5.20458163 -11.45768025]
367,0.11019909467775947,[  0.73574413 -14.6747894 ]
368,0.061772962658199274,[  3.95936496 -13.1974107 ]
369,0.05227818553444664,[  0.4018358  -12.70057794]
370,0.03765727742347802,[-0.51888112 -8.34685315]
371,0.06697954565294054,[  4.61083744 -12.01621511]
372,0.05077706251929806,[-0.13644068 -9.99084746]
373,0.10638976098671062,[ -0.90041351 -15.62222701]
374,0.06280775763769725,[  3.50326797 -12.67973856]
375,0.11066604208573352,[  3.04930135 -13.34212855]
376,0.06522431777218035,[ -0.4427217  -13.65484291]
377,0.04975115752387231,[  1.61190749 -11.29950306]
378,0.056085098691793525,[  1.11772188 -12.63665913]
379,0.05767165682321281,[  4.04129093 -11.90666034]
380,0.11455827467918457,[  2.95802039 -15.03931893]
381,0.07198891065267134,[  4.19266362 -14.34962493]
382,0.05767165682321281,[ -5.23658318 -13.15161002]
383,0.057894758843226174,[  3.12231279 -12.60830362]
384,0.10878622733796384,[ -0.99998134 -13.76153821]
385,0.0572228433335207,[  4.25696178 -11.28832981]
386,0.05986527381164558,[  3.77439728 -12.56719205]
387,0.05397675785224819,[ -4.42733152 -12.1817563 ]
388,0.05252420188403545,[ -2.15100836 -10.21323168]
389,0.1002766638084153,[  2.02781065 -13.2025641 ]
390,0.06774505102956152,[  4.25842697 -12.61797753]
391,0.06793507959647048,[  3.03581232 -12.84531921]
392,0.05276907128551534,[ -0.97953626 -14.68191721]
393,0.12218189453488433,[ -0.35881192 -13.98948491]
394,0.061772962658199274,[  4.88110125 -13.39380799]
395,0.05445233318969914,[ -1.01796151 -11.50114041]
396,0.0596495423935709,[  3.62958227 -13.42242114]
397,0.11854024601620934,[  0.30898028 -14.86200102]
398,0.07358295430319632,[  1.8856685  -13.45164835]
399,0.06156391649976791,[ -0.90421769 -12.59986395]
400,0.11567812803326467,[ -3.95078461 -14.21096146]
401,0.05252420188403545,[  0.61682243 -10.73485981]
402,0.07126900345756736,[ -4.99767125 -11.53511434]
403,0.06156391649976791,[ -3.19510362 -12.28302484]
404,0.07126900345756736,[ -4.86933537 -10.3814471 ]
405,0.0611436800759377,[ -7.2430512  -13.44346917]
406,0.05301280963235855,[ -0.38124363 -10.97458861]
407,0.10406201193505993,[  2.92955182 -14.51386555]
408,0.06239589904724462,[ -1.95010276 -11.35812971]
409,0.05103031627248249,[ -0.63433085 -13.10212482]
410,0.06382577789091295,[ -5.15026541 -10.65781952]
411,0.12499823628042736,[  0.60016625 -14.60965573]
412,0.061354158082476434,[ -5.05872735 -15.2845338 ]
413,0.056542943828827956,[  0.68246737 -12.46010835]
414,0.06999135052539376,[  0.44334713 -13.32093436]
415,0.1219706897191773,[  0.34973501 -13.13975056]
416,0.07393251899907138,[  4.75242718 -13.45090676]
417,0.05276907128551534,[  1.73801743 -11.34640523]
418,0.05178264652576432,[ -1.91312117 -10.76514636]
419,0.061354158082476434,[  6.02977355 -11.88146491]
420,0.1038139495752415,[  0.63273516 -13.96697073]
421,0.06659349318298727,[ -1.77626736 -12.8705036 ]
422,0.05699711131620415,[  5.9589372  -10.73395445]
423,0.05373739189297661,[ -1.07118726 -11.4792471 ]
424,0.10331603807389846,[  1.90286572 -14.88680174]
425,0.061981303764539905,[ -1.38721346 -12.21554955]
426,0.058338403329857166,[  3.12027972 -13.22995338]
427,0.06812457809454432,[  4.90651341 -12.43965517]
428,0.1038139495752415,[  1.30727248 -14.24174916]
429,0.061772962658199274,[ -3.4188306  -12.15986575]
430,0.05178264652576432,[ -1.59354628 -10.58604954]
431,0.07054174969981393,[  1.45883708 -16.3107369 ]
432,0.060720535337452745,[ -1.15037445 -12.51212617]
433,0.10866765920754098,[ -5.42828049 -15.11963695]
434,0.05077706251929806,[ 3.01313725 -9.46333333]
435,0.05421506699268316,[  4.16666667 -10.66666667]
436,0.10996487742109307,[ -3.89071041 -13.9381227 ]
437,0.06850200246796762,[ -3.06240188 -12.09497645]
438,0.06659349318298727,[  0.21539851 -15.67396704]
